OverallQual,GarageCars,FullBath,TotRmsAbvGrd,MSZoning,Neighborhood,Condition1,Condition2,HouseStyle,ExterQual,BsmtQual,BsmtCond,KitchenQual,GarageType,GarageFinish,PoolQC,GrLivArea,GarageArea,TotalBsmtSF,1stFlrSF,YearBuilt,BsmtFinSF1,WoodDeckSF,2ndFlrSF,OpenPorchSF,LotArea,BsmtUnfSF,SalePrice
7,2,2,8,6,6,3,3,4,4,4,3,4,2,2,0,1710,548,856,856,2003,706,0,854,61,8450,150,208500
6,2,2,6,6,25,2,3,1,3,4,3,3,2,2,0,1262,460,1262,1262,1976,978,298,0,0,9600,284,181500
7,2,2,6,6,6,3,3,4,4,4,3,4,2,2,0,1786,608,920,920,2001,486,0,866,42,11250,434,223500
7,3,1,7,6,7,3,3,4,3,3,4,4,6,3,0,1717,642,756,961,1915,216,0,756,35,9550,540,140000
8,3,2,9,6,14,3,3,4,4,4,3,4,2,2,0,2198,836,1145,1145,2000,655,192,1053,84,14260,490,250000
5,2,1,5,6,12,3,3,2,3,4,3,3,2,3,0,1362,480,796,796,1993,732,40,566,30,14115,64,143000
8,2,2,7,6,22,3,3,1,4,5,3,4,2,2,0,1694,636,1686,1694,2004,1369,255,0,57,10084,317,307000
7,2,2,7,6,17,6,3,4,3,4,3,3,2,2,0,2090,484,1107,1107,1973,859,235,983,204,10382,216,200000
7,2,2,8,8,18,1,3,2,3,3,3,3,6,3,0,1774,468,952,1022,1931,0,90,752,0,6120,952,129900
5,1,1,5,6,4,1,1,3,3,3,3,3,2,2,0,1077,205,991,1077,1939,851,0,0,4,7420,140,118000
5,1,1,5,6,20,3,3,1,3,3,3,3,6,3,0,1040,384,1040,1040,1965,906,0,0,0,11200,134,129500
9,3,3,11,6,16,3,3,4,5,5,3,5,4,1,0,2324,736,1175,1182,2005,998,147,1142,21,11924,177,345000
5,1,1,4,6,20,3,3,1,3,3,3,3,6,3,0,912,352,912,912,1962,737,140,0,0,12968,175,144000
7,3,2,7,6,6,3,3,1,4,4,3,4,2,2,0,1494,840,1494,1494,2006,0,160,0,33,10652,1494,279500
6,1,1,5,6,0,3,3,1,3,3,3,3,2,2,0,1253,352,1253,1253,1960,733,0,0,213,10920,520,157000
7,2,1,5,8,4,3,3,3,3,3,3,3,6,3,0,854,576,832,854,1929,0,48,0,112,6120,832,132000
6,2,1,5,6,0,3,3,1,3,3,3,3,2,1,0,1004,480,1004,1004,1970,578,0,0,0,11241,426,149000
4,2,2,6,6,20,3,3,1,3,0,0,3,5,3,0,1296,516,0,1296,1967,0,0,0,0,10791,0,90000
5,2,1,6,6,21,9,3,1,3,3,3,4,6,3,0,1114,576,1114,1114,2004,646,0,0,102,13695,468,159000
5,1,1,6,6,0,3,3,1,3,3,3,3,2,3,0,1339,294,1029,1339,1958,504,0,0,0,7560,525,139000
8,3,3,9,6,16,3,3,4,4,5,3,4,4,2,0,2376,853,1158,1158,2005,0,240,1218,154,14215,1158,325300
7,1,1,6,8,10,3,3,3,3,3,3,4,2,3,0,1108,280,637,1108,1930,0,0,0,0,7449,637,139400
8,2,2,7,6,6,3,3,1,4,4,3,4,2,2,0,1795,534,1777,1795,2002,0,171,0,159,9742,1777,230000
5,2,1,6,8,11,3,3,1,3,4,3,3,2,3,0,1060,572,1040,1060,1976,840,100,0,110,4224,200,129900
5,1,1,6,6,20,3,3,1,3,3,3,4,2,3,0,1060,270,1060,1060,1968,188,406,0,90,8246,204,154000
8,3,2,7,6,16,3,3,1,4,4,3,4,2,2,0,1600,890,1566,1600,2007,0,0,0,56,14230,1566,256300
5,2,1,5,6,0,3,3,1,3,3,3,4,6,3,0,900,576,900,900,1951,234,222,0,32,7200,180,134800
8,3,2,7,6,16,3,3,1,4,5,3,4,2,2,0,1704,772,1704,1704,2007,1218,0,0,50,11478,486,306000
5,1,1,6,6,0,3,3,1,3,3,3,3,2,2,0,1600,319,1484,1600,1957,1277,288,0,258,16321,207,207500
4,1,1,4,8,4,2,4,1,3,3,3,2,6,3,0,520,240,520,520,1927,0,49,0,0,6324,520,68500
4,1,1,6,0,10,2,3,4,3,3,3,3,6,3,0,1317,250,649,649,1920,0,0,668,54,8500,649,40000
5,1,1,6,6,20,3,3,1,3,3,3,4,2,3,0,1228,271,1228,1228,1966,0,0,0,65,8544,1228,149350
8,2,2,7,6,6,3,3,1,4,5,3,4,2,2,0,1234,484,1234,1234,2007,0,0,0,30,11049,1234,179900
5,2,1,6,6,0,3,3,1,3,3,3,4,2,2,0,1700,447,1398,1700,1959,1018,0,0,38,10552,380,165500
9,2,2,6,6,16,3,3,1,5,5,3,5,2,1,0,1561,556,1561,1561,2005,1153,203,0,47,7313,408,277500
8,3,3,9,6,16,3,3,4,4,5,3,4,4,1,0,2452,691,1117,1132,2004,0,113,1320,32,13418,1117,309000
5,2,1,6,6,6,3,3,1,3,4,3,3,2,3,0,1097,672,1097,1097,1994,0,392,0,64,10859,1097,145000
5,2,1,5,6,0,3,3,1,3,3,3,3,2,1,0,1297,498,1297,1297,1954,1213,0,0,0,8532,84,153000
5,1,1,5,6,0,3,3,1,3,3,3,4,6,3,0,1057,246,1057,1057,1953,731,0,0,52,7922,326,109000
4,0,2,6,6,8,3,3,1,3,0,0,2,0,0,0,1152,0,0,1152,1955,0,0,0,0,6040,0,82000
6,2,2,6,6,0,3,3,1,3,3,3,3,2,2,0,1324,440,1088,1324,1965,643,0,0,138,8658,445,160000
5,1,1,5,6,24,3,3,1,3,3,3,3,2,2,0,1328,308,1350,1328,1959,967,0,0,104,16905,383,170000
5,2,1,5,6,21,3,3,7,3,4,3,4,2,2,0,884,504,840,884,1983,747,240,0,0,9180,0,144000
5,1,1,5,6,6,3,3,1,3,4,3,3,6,3,0,938,308,938,938,1975,280,145,0,0,9200,167,130250
5,1,1,6,6,0,3,3,1,3,3,3,3,2,2,0,1150,300,1150,1150,1959,179,0,0,0,7945,465,141000
9,2,2,6,6,16,3,3,1,5,5,3,5,2,2,0,1752,576,1752,1752,2005,456,196,0,82,7658,1296,319900
7,2,1,6,6,12,3,3,2,4,5,3,4,2,2,0,2149,670,1434,1518,2003,1351,168,631,43,12822,83,239686
8,3,2,7,3,22,3,3,1,4,4,3,4,2,2,0,1656,826,1656,1656,2006,24,0,0,146,11096,1632,249700
4,0,2,8,8,18,3,3,4,3,3,3,3,0,0,0,1452,0,736,736,1920,0,0,716,0,4456,736,113000
5,1,1,6,6,20,3,3,1,3,3,3,3,2,3,0,955,386,955,955,1966,763,0,0,0,7742,192,127000
6,2,2,6,6,9,3,3,4,3,4,3,3,2,1,0,1470,388,794,794,1997,182,0,676,75,13869,612,177000
6,2,1,6,8,4,3,3,2,3,3,3,3,6,3,0,1176,528,816,816,1934,0,112,0,0,6240,816,114500
5,2,1,5,8,10,4,3,1,2,4,3,3,5,3,0,816,516,816,816,1963,104,106,0,0,8472,0,110000
9,3,0,5,6,25,3,3,1,4,5,3,4,2,1,0,1842,894,1842,1842,1981,1810,857,0,72,50271,32,385000
5,2,1,6,6,0,3,3,8,3,3,3,3,6,3,0,1360,572,384,1360,1955,384,0,0,50,7134,0,130000
6,2,2,7,6,0,3,3,1,3,3,3,3,2,2,0,1425,576,1425,1425,1964,490,0,0,0,10175,935,180500
8,2,2,7,3,22,3,3,4,4,4,3,4,2,1,0,1739,480,970,983,1999,649,115,756,0,2645,321,172500
7,2,2,7,6,6,3,3,4,4,4,3,4,2,2,0,1720,565,860,860,2004,0,0,860,70,11645,860,196500
10,3,3,10,6,23,3,3,4,5,5,3,4,4,1,0,2945,641,1410,1426,2006,0,192,1519,0,13682,1410,438780
5,1,1,4,6,6,3,3,1,3,3,3,3,6,3,0,780,352,780,780,1972,632,196,0,0,7200,148,124900
6,2,1,5,6,21,9,3,1,3,4,3,4,6,3,0,1158,576,1158,1158,2004,941,0,0,50,13072,217,158000
5,1,1,6,8,10,3,3,6,3,3,2,2,6,3,0,1111,288,530,581,1920,0,0,530,0,7200,530,101000
8,2,2,6,6,16,3,3,1,4,4,4,4,2,2,0,1370,484,1370,1370,2006,24,120,0,49,6442,1346,202500
7,2,2,9,8,18,5,2,4,3,3,3,3,6,3,0,1710,480,576,902,1921,0,12,808,11,10300,576,140000
7,2,2,8,6,6,3,3,4,3,4,3,4,2,2,0,2034,645,1057,1057,1997,739,576,977,36,9375,318,219500
8,3,2,9,6,16,3,3,4,4,5,3,4,4,2,0,2473,852,1143,1143,2004,0,192,1330,151,9591,1143,317000
7,2,2,7,6,0,7,3,1,3,4,3,3,2,2,0,2207,576,1947,2207,1970,912,301,0,0,19900,1035,180000
7,2,2,7,6,6,3,3,1,4,4,3,4,2,2,0,1479,558,1453,1479,2003,1013,144,0,29,10665,440,226000
4,1,1,4,8,18,1,3,1,3,3,3,3,2,3,0,747,220,747,747,1945,0,0,0,0,4608,747,80000
7,2,2,7,6,5,3,3,2,4,3,3,3,2,1,0,2287,667,1304,1304,1953,603,0,983,21,15593,701,225000
7,2,2,8,6,0,3,3,1,3,4,3,3,2,1,0,2223,516,2223,2223,1973,1880,300,0,0,13651,343,244000
4,2,1,4,6,12,3,3,1,3,3,3,3,6,3,0,845,360,845,845,1982,565,0,0,0,7599,280,129500
7,2,2,7,6,9,3,3,4,3,4,3,3,2,1,0,1718,427,832,885,1998,0,0,833,94,10141,832,185000
5,2,1,6,6,0,3,3,1,3,3,3,3,2,3,0,1086,490,1086,1086,1954,320,0,0,0,10200,404,144900
3,1,2,8,8,18,3,3,4,4,2,3,3,6,3,0,1605,379,840,840,1915,0,0,765,0,5790,840,107400
4,1,1,5,8,11,3,3,8,3,4,3,3,4,3,0,988,297,462,526,1973,462,120,462,101,1596,0,91000
4,1,1,4,6,0,3,3,1,3,3,3,3,6,3,0,952,283,952,952,1956,228,0,0,0,8475,724,135750
5,1,1,6,8,4,3,3,2,3,3,3,3,6,3,0,1285,240,672,1072,1948,336,0,213,0,8635,295,127000
4,0,2,8,6,20,3,3,1,3,3,3,3,0,0,0,1768,0,1768,1768,1968,0,0,0,0,10778,1768,136500
5,2,1,5,8,18,3,3,4,3,3,3,3,6,3,0,1230,440,440,682,1910,0,74,548,0,10440,440,110000
6,1,2,8,6,0,3,3,4,3,4,3,4,2,1,0,2142,509,896,1182,1968,448,0,960,72,13000,448,193500
6,2,2,5,8,12,3,3,1,3,5,4,3,2,1,0,1337,405,1237,1337,1998,1201,0,0,199,4500,36,153500
8,3,2,6,6,22,3,3,1,3,4,3,4,2,2,0,1563,758,1563,1563,2007,33,144,0,99,10206,1530,245000
5,2,1,6,6,0,3,3,1,3,3,3,3,6,3,0,1065,461,1065,1065,1960,0,74,0,0,8892,1065,126500
7,2,2,7,6,9,3,3,8,3,4,3,3,4,1,0,1474,400,384,804,1995,0,120,670,72,8530,384,168500
8,2,2,9,6,14,3,3,4,4,4,3,4,2,3,0,2417,462,1288,1301,1991,0,127,1116,82,16059,1288,260000
6,2,2,6,6,9,3,3,4,4,4,3,4,4,1,0,1560,400,684,684,2005,0,100,876,38,11911,684,174000
6,2,2,4,3,22,3,3,4,4,4,3,4,6,2,0,1224,528,612,612,2009,0,0,612,234,3951,612,164500
3,0,1,6,0,10,2,2,2,2,3,2,2,0,0,0,1526,0,1013,1013,1915,0,0,0,0,8470,1013,85000
4,0,1,5,6,6,3,3,1,3,4,3,3,0,0,0,990,0,990,990,1994,588,0,0,0,8070,402,123600
4,2,1,4,6,0,3,3,1,3,0,0,3,6,3,0,1040,420,0,1040,1950,0,0,0,29,7200,0,109900
5,2,1,6,6,0,3,3,1,3,3,3,3,2,3,0,1235,480,1235,1235,1961,600,0,0,0,8500,635,98600
5,2,1,5,6,7,3,3,1,3,4,3,3,6,3,0,964,432,876,964,1921,713,0,0,0,13360,163,163500
6,2,2,9,0,18,3,3,6,3,3,2,3,6,3,0,2291,506,1214,1260,1910,1046,0,1031,0,7200,168,133900
6,2,2,7,6,6,3,3,4,3,4,3,4,2,2,0,1786,684,824,905,1997,648,0,881,162,9337,176,204750
6,2,2,6,6,9,3,3,4,5,4,4,3,4,1,0,1470,420,680,680,1993,310,232,790,63,9765,370,185000
7,2,2,6,6,6,3,3,1,4,4,3,4,2,2,0,1588,472,1588,1588,1999,1162,158,0,29,10264,426,214000
4,1,1,6,6,8,3,3,1,3,3,3,3,2,1,0,960,432,960,960,1965,520,120,0,0,10921,440,94750
5,1,1,5,6,8,3,3,1,3,3,3,3,3,3,0,835,366,458,835,1920,108,0,0,0,10625,350,83000
4,0,1,6,6,0,3,3,1,3,3,3,3,0,0,0,1225,0,950,1225,1959,569,352,0,0,9320,381,128950
6,2,2,6,6,17,3,3,1,3,3,3,4,2,2,0,1610,480,1610,1610,1977,1200,168,0,68,10603,410,205000
6,2,2,7,6,21,3,3,4,4,4,3,4,2,1,0,1732,476,741,977,1985,0,192,755,46,9206,741,178000
5,2,2,8,6,21,3,3,1,3,0,0,3,2,3,0,1535,410,0,1535,1979,0,0,0,0,7018,0,118964
7,3,2,6,6,6,3,3,1,3,4,3,4,2,2,0,1226,740,1226,1226,2009,0,0,0,36,10402,1226,198900
7,1,1,7,8,10,3,3,2,3,3,3,3,6,3,0,1818,240,1040,1226,1931,224,0,592,0,7758,816,169500
8,2,2,9,3,22,3,3,4,4,5,3,4,2,2,0,1992,648,1053,1053,2003,0,140,939,45,9375,1053,250000
4,1,1,6,8,18,3,3,1,3,2,3,3,6,3,0,1047,273,641,1047,1885,0,0,0,0,10800,641,100000
5,1,1,5,8,18,3,3,1,3,3,3,3,6,3,0,789,250,789,789,1948,104,0,0,0,6000,516,115000
5,0,2,7,8,10,1,3,2,3,3,3,2,0,0,0,1517,0,793,997,1919,0,0,520,0,8500,793,115000
6,2,2,7,6,17,3,3,1,3,4,3,3,2,2,0,1844,546,1844,1844,1977,705,0,0,122,11751,1139,190000
6,1,2,7,6,8,3,3,2,3,3,2,3,2,3,0,1855,325,994,1216,1954,444,182,639,0,9525,550,136900
7,2,2,7,6,9,3,3,8,3,4,3,3,4,1,0,1430,400,384,774,2000,250,180,656,0,7750,134,180000
7,3,2,10,6,6,3,3,4,4,5,3,5,4,1,0,2696,792,1264,1282,2007,984,120,1414,184,9965,280,383970
6,2,2,7,6,7,3,3,1,3,4,3,4,3,3,0,2259,450,1809,2259,1953,35,166,0,120,21000,905,217000
6,1,2,9,6,7,3,3,4,3,3,3,4,6,3,0,2320,180,1028,1436,1945,774,224,884,0,7259,104,259500
6,2,2,5,3,22,3,3,4,3,4,3,3,6,3,0,1458,440,729,729,1999,419,0,729,32,3230,310,176000
5,1,1,6,6,20,3,3,1,3,3,3,3,2,3,0,1092,288,1092,1092,1962,170,0,0,20,11616,252,139000
5,2,1,5,6,8,3,3,1,3,4,3,3,2,3,0,1125,430,1125,1125,2006,0,80,0,64,8536,1125,155000
7,3,3,11,6,21,3,3,4,3,4,3,4,2,3,0,3222,594,1673,1699,1990,1470,367,1523,0,12376,203,320000
6,2,2,8,6,6,3,3,4,4,4,3,4,2,1,0,1456,390,728,728,2005,0,0,728,24,8461,728,163990
6,2,1,4,6,5,3,3,8,3,3,3,3,2,3,0,988,540,938,988,1969,938,0,0,130,21453,0,180000
4,1,1,4,8,10,3,3,2,3,3,3,3,6,3,0,1123,264,732,772,1939,0,0,351,0,6060,732,100000
6,1,1,5,6,0,3,3,1,3,3,3,3,2,3,0,1080,288,1080,1080,1958,570,0,0,0,9464,510,136000
6,2,2,5,6,21,3,3,1,4,4,3,4,2,2,0,1199,530,1199,1199,1993,300,0,0,63,7892,899,153900
6,2,2,7,6,17,3,3,1,3,4,2,3,2,3,0,1586,435,1362,1586,1979,0,192,0,0,17043,1362,181000
6,0,1,5,8,10,3,3,2,3,3,3,3,0,0,0,754,0,520,520,1935,490,53,0,0,6780,30,84500
6,2,2,5,6,15,3,3,1,3,4,3,3,2,2,0,958,440,1078,958,1976,120,0,0,205,4928,958,128000
5,0,1,5,8,18,2,3,3,3,3,3,3,0,0,0,840,0,672,840,1930,116,0,0,0,4388,556,87000
6,2,1,6,6,0,6,3,4,3,3,3,3,2,2,0,1348,453,660,660,1966,512,188,688,108,7590,148,155000
5,2,1,6,6,0,3,3,1,3,3,3,5,1,2,0,1053,750,1008,1053,1958,567,0,0,80,8973,413,150000
7,2,2,8,6,0,3,3,4,3,3,3,4,2,1,0,2157,487,924,1216,1966,445,105,941,66,14200,479,226000
6,2,2,7,6,9,3,3,4,4,4,3,4,4,2,0,2054,390,992,1022,2000,695,24,1032,48,12224,297,244000
5,2,1,7,6,0,3,3,1,3,3,3,4,6,3,0,1327,624,1063,1327,1959,405,0,0,0,7388,658,150750
8,2,2,6,6,24,3,3,1,4,5,3,4,2,1,0,1296,471,1267,1296,2001,1005,192,0,25,6853,262,220000
5,2,2,7,6,20,3,3,1,3,3,3,3,2,2,0,1721,440,1461,1721,1968,570,0,0,96,10335,891,180000
7,2,2,7,6,17,3,3,1,3,3,3,3,2,3,0,1682,530,1304,1682,1970,0,98,0,0,10400,1304,174000
5,1,2,5,6,0,3,3,1,3,3,3,3,2,2,0,1214,318,1214,1214,1967,695,0,0,111,10355,519,143000
7,3,3,9,6,12,3,3,1,3,3,3,3,1,3,0,1959,766,1907,1959,1988,0,0,0,0,11070,1907,171000
8,3,2,7,6,6,3,3,4,4,4,3,4,2,1,0,1852,660,1004,1004,1999,668,224,848,106,9066,336,230000
6,2,2,7,6,6,3,3,4,3,4,3,4,2,2,0,1764,470,928,928,1997,821,276,836,99,15426,107,231500
4,0,1,5,6,0,3,3,1,3,3,3,3,0,0,0,864,0,864,864,1971,432,0,0,0,10500,432,115000
7,2,2,7,6,6,3,3,1,4,4,3,4,2,1,0,1734,660,1734,1734,2005,1300,160,0,24,11645,434,260000
5,2,2,6,6,0,1,3,2,3,3,3,3,6,3,0,1385,720,910,910,1952,507,0,475,0,8520,403,166000
7,2,2,6,6,6,3,3,1,4,4,3,4,2,2,0,1501,577,1490,1501,1999,679,144,0,29,10335,811,204000
5,2,2,10,8,20,9,3,1,3,3,3,3,6,3,0,1728,504,1728,1728,1963,1332,0,0,0,9100,396,125000
6,2,2,7,8,8,3,3,4,4,4,3,4,6,3,0,1709,380,970,970,2004,0,0,739,40,2522,970,130000
5,1,1,5,8,4,3,3,1,3,3,3,3,6,3,0,875,180,715,875,1931,209,48,0,0,6120,506,105000
7,2,2,8,6,9,3,3,4,4,4,3,4,4,1,0,2035,434,884,884,2001,0,144,1151,48,9505,884,222500
7,0,1,6,6,21,3,3,1,3,4,3,4,0,0,0,1080,0,1080,1080,2004,680,0,0,0,7500,400,141000
5,1,1,7,8,4,3,3,2,3,4,3,3,6,3,0,1344,240,896,896,1936,0,200,448,114,6240,896,115000
